Región,Municipio,Colonia ,Codigo Postal
Ciudad de México,Álvaro Obregón,San Ángel,01000
Ciudad de México,Álvaro Obregón,Los Alpes,01010
Ciudad de México,Álvaro Obregón,Guadalupe Inn,01020
Ciudad de México,Álvaro Obregón,Florida,01030
Ciudad de México,Álvaro Obregón,Axotla,01030
Ciudad de México,Álvaro Obregón,Campestre,01040
Ciudad de México,Álvaro Obregón,Las Águilas,01048
Ciudad de México,Álvaro Obregón,Tlacopac,01049
Ciudad de México,Álvaro Obregón,Ex-Hacienda de Guadalupe Chimalistac,01050
Ciudad de México,Álvaro Obregón,Altavista,01060
Ciudad de México,Álvaro Obregón,San Ángel Inn,01060
Ciudad de México,Álvaro Obregón,Chimalistac,01070
Ciudad de México,Álvaro Obregón,Progreso Tizapan,01080
Ciudad de México,Álvaro Obregón,Ermita Tizapan,01089
Ciudad de México,Álvaro Obregón,Loreto,01090
Ciudad de México,Álvaro Obregón,La Otra Banda,01090
Ciudad de México,Álvaro Obregón,Tizapan,01090
Ciudad de México,Álvaro Obregón,Lomas de Santo Domingo,01100
Ciudad de México,Álvaro Obregón,Pólvora,01100
Ciudad de México,Álvaro Obregón,La Conchita,01109
Ciudad de México,Álvaro Obregón,Ampliación El Capulín,01110
Ciudad de México,Álvaro Obregón,Belém de las Flores,01110
Ciudad de México,Álvaro Obregón,El Capulín,01110
Ciudad de México,Álvaro Obregón,Liberales de 1857,01110
Ciudad de México,Álvaro Obregón,Sears Roebuck,01120
Ciudad de México,Álvaro Obregón,Las Américas,01120
Ciudad de México,Álvaro Obregón,Acueducto,01120
Ciudad de México,Álvaro Obregón,Hidalgo,01120
Ciudad de México,Álvaro Obregón,Cove,01120
Ciudad de México,Álvaro Obregón,Ampliación Acueducto,01125
Ciudad de México,Álvaro Obregón,Paraíso,01130
Ciudad de México,Álvaro Obregón,Molino de Santo Domingo,01130
Ciudad de México,Álvaro Obregón,Molino de Santo Domingo,01130
Ciudad de México,Álvaro Obregón,Real del Monte,01130
